ID,Herausforderungsvorschlag,Rahmenbedingungen,Zielgruppe,Sektor,Eingereicht von,Bundesland,PLZ,Kontakt anfragen,,
100146,Wie können wir mehr Frauen für das Gründen begeistern?,,Frauen (in Aachen),"Zivilgesellschaft, inkl. sozialer Sektor",AC.E Aachener Entrepreneurship Team,Nordrhein-Westfalen,52064,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100146,,
100585,"Wie können wir Schüler:innen dabei unterstützen, dem individuellen Lernen Struktur zu geben?","Schüler:innen fällt es besonders bei mangelnder Unterstützung zu Hause mitunter schwer, sich beim (digitalen) Lernen selbstständig an den Schreibtisch zu setzen, nachhaltige Lernstrategien und strukturiertes Vorgehen anzuwenden. Dieses Problem wird besonders durch die Pandemie verstärkt, da zusätzlich die Alltagsstruktur leidet und damit feste Lern- und Freizeitabschnitte verloren gehen. Neben individueller Anleitung durch jemanden, der ein Auge auf den:die Schüler:in wirft, fehlt auch manchmal eine Vorstellung über die weitere Bildungslaufbahn – ohne diese geht möglicherweise auch Motivation verloren. Lehrkräfte können dieser Herausforderung natürlich nicht gerecht werden, da sie nicht jede:n Schüler:in persönlich betreuen können.","Schüler:innen (, die mangelnde Unterstützung von zu Hause erfahren)","Zivilgesellschaft, inkl. sozialer Sektor",Aelius Förderwerk e. V.,Bayern,90443,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100585,,
100409,"Wie können wir das Ehrenamt entlasten und die bestehenden Aufgaben attraktiver machen? Wie können wir Ehrenamt so unterstützen und (um)gestalten, dass der Aufwand für den Einzelnen nicht übergroß wirkt?","Es fällt vielen Ehrenamtsorganisationen immer schwerer Nachwuchs oder überhaupt Personen für bestimmte Aufgaben zu gewinnen. Zusätzliche entsteht der Eindruck, dass zu viele Aufgaben, um die sich ""Hauptamtliche"" kümmern sollten an das Ehrenamt abgegeben wird und dass wenig Wertschätzung für die Ehrenamtlichen besteht. Könnte man Ehrenamt nicht vielleicht mal ""out of the box"" denken? Mehr Gemeinschaftsgefühl und soziale Verantwortung, weniger eingefahrene Strukturen...","Ehrenamtliche in Vereinen, Verbänden und Initiativen im ländlichen Raum, ""passive und stille"" Bürger:innen",Verwaltung & Politik – Kommunen,Amt Hüttener Berge,Schleswig-Holstein,24361,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100409,,
100170,Wie können wir möglichst viele Schüler:innen trotz geschlossener Schulen über Studienmöglichkeiten und Studienfinanzierung informieren?,"ArbeiterKind.de bietet seit Beginn der Corona-Pandemie kostenlose Online-Infoveranstaltungen zum Studium (Studienmöglichkeiten und -finanzierung) für Schüler:innen und Interessierte an. Die Veranstaltungen werden von Ehrenamtlichen gestaltet und durchgeführt, dafür stehen drei verschiedene interaktive Konzepte zur Verfügung. Teilnehmer:innen sind von dem Format begeistert und können so unabhängig von ihrer Herkunft eine informierte Entscheidung über ihren Bildungsweg treffen. Leider nehmen nur wenige Menschen teil, da das Angebot freiwillig ist und wir damit weniger Menschen erreichen als normalerweise in einer Schulklasse teilnehmen würden.
Schulen, denen wir dieses Online-Angebot vorstellen, lehnen es häufig ab - auch wenn die technische Umsetzung und Vorberetung übernommen wird.","Schüler:innen ab 9./10. Klasse, insbesondere aus nicht-akademischen Familien","Zivilgesellschaft, inkl. sozialer Sektor",ArbeiterKind.de,Berlin,10963,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100170,,
100167,"Wie können wir erreichen, dass ""organisierte"" Kommunalpolitik für junge Menschen so niederschwellig nahegebracht werden kann, dass sich junge Menschen mehr in kommunalpolitischen Gremien engagieren.",,Junge Menschen,Verwaltung & Politik – EU,Arbeitskreis „Junge lokale und regionale Mandatsträger/innen im Rat der Gemeinden und Regionen Europas/Deutsche Sektion“,Nordrhein-Westfalen,50670,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100167,,
100736,"Wie können wir unseren Kindern, SchülerInnen und Studierenden zu einem Selbstbewusstein führen, welches sie in der kommenden, wohl erforderlichen digitalisierten Bildung gegenüber Ablenkungen und krankmachenden Einflüssen stark macht?","Schon jetzt ist Schule bzw. Hochschule und deren darin enthaltenen Anforderungen so gross, dass jedes Jahr die Zahl der erkrankten SchülerInnen und Studierenden  immer mehr grösser wird und schon.  Permanenter Konkurrenz- und Leistungsdruck wird in Studien der Krankenkassen als grösster Stressfaktor gesehen. Dies wird durch die Digitalisierung nicht weniger. Daher ist es wichtig neben der Digitalisierung den Kindern, SchülerInnen und Studierenden  tools an die Hand zu geben mit dem wachsenden Druck umgehen zu lernen.","Kinder, SchülerInnen und Studierende aller Altersklassen, aber auch deren LehrerInnen und SchulleiterInnen bzw. HochschulleiterInnen","Zivilgesellschaft, inkl. sozialer Sektor",Atento learning,Baden-Württemberg,79689,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100736,,
100745,"Wie können wir die LehrerInnen wieder so viel Kraft geben, damit sie den stressigen Schulalltag wirklich nachhaltig meistern können?",,"LehrerInnen und deren SchulleiterInnen, Kultusministerien, Schulämter","Zivilgesellschaft, inkl. sozialer Sektor",atento learning,Baden-Württemberg,79689,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100745,,
100637,Wie können wir Kinder und Jugendliche psychisch stärken?,,Kinder und Jugendliche,"Zivilgesellschaft, inkl. sozialer Sektor",Atento learning,Baden-Württemberg,79689,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100637,,
100739,"Wie können wir die Beziehungen der Kinder, SchülerInnen und Studierenden wieder so tragfähig machen, dass sie die Unwegbarkeiten und Stresssituationen des Schul- und Hochschullebens gut meistern können?",,"SchülerInnen und Studierende, aber auch LehrerInnen und Hochschullehrende","Zivilgesellschaft, inkl. sozialer Sektor",Atento-learning,Baden-Württemberg,79689,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100739,,
100805,"Wie können wir jungen Leuten ein Handwerk vermitteln, das sie für die sozialökologischen Herausforderungen unserer zukünftigen Welt wappnen kann?",,An junge Erwachsene,"Zivilgesellschaft, inkl. sozialer Sektor",Bachelor of Being,Hamburg,21029,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100805,,
